dbms,label,iteration,execution_time,response_time
aquery,point_noindex,6,0.020000,0.130000
aquery,point_noindex,7,0.019000,0.128000
aquery,point_noindex,8,0.020000,0.209000
aquery,point_noindex,9,0.020000,0.214000
aquery,point_noindex,10,0.019000,0.132000
aquery,point_noindex,11,0.019000,0.122000
aquery,point_hash,1,0.017000,0.120000
aquery,point_hash,2,0.019000,0.127000
aquery,point_hash,3,0.020000,0.209000
aquery,point_hash,4,0.018000,0.125000
aquery,point_hash,5,0.019000,0.127000
aquery,point_hash,6,0.021000,0.212000
aquery,point_hash,7,0.018000,0.122000
aquery,point_hash,8,0.019000,0.136000
aquery,point_hash,9,0.019000,0.132000
aquery,point_hash,10,0.020000,0.128000
aquery,point_hash,11,0.021000,0.231000
aquery,point_sorted,1,0.018000,0.129000
aquery,point_sorted,2,0.018000,0.124000
aquery,point_sorted,3,0.018000,0.123000
aquery,point_sorted,4,0.018000,0.123000
aquery,point_sorted,5,0.019000,0.133000
aquery,point_sorted,6,0.019000,0.127000
aquery,point_sorted,7,0.021000,0.212000
aquery,point_sorted,8,0.020000,0.135000
aquery,point_sorted,9,0.020000,0.129000
aquery,point_sorted,10,0.020000,0.128000
aquery,point_sorted,11,0.021000,0.209000
aquery,multipoint_noindex,1,0.022000,0.220000
aquery,multipoint_noindex,2,0.020000,0.132000
aquery,multipoint_noindex,3,0.020000,0.132000
aquery,multipoint_noindex,4,0.020000,0.123000
aquery,multipoint_noindex,5,0.019000,0.134000
aquery,multipoint_noindex,6,0.020000,0.134000
aquery,multipoint_noindex,7,0.019000,0.132000
aquery,multipoint_noindex,8,0.019000,0.126000
aquery,multipoint_noindex,9,0.020000,0.211000
aquery,multipoint_noindex,10,0.020000,0.130000
aquery,multipoint_noindex,11,0.018000,0.124000
aquery,multipoint_hash,1,0.019000,0.131000
aquery,multipoint_hash,2,0.018000,0.122000
aquery,multipoint_hash,3,0.019000,0.131000
aquery,multipoint_hash,4,0.019000,0.125000
aquery,multipoint_hash,5,0.021000,0.210000
aquery,multipoint_hash,6,0.021000,0.208000
aquery,multipoint_hash,7,0.022000,0.215000
aquery,multipoint_hash,8,0.021000,0.132000
aquery,multipoint_hash,9,0.019000,0.129000
aquery,multipoint_hash,10,0.018000,0.123000
aquery,multipoint_hash,11,0.021000,0.211000
aquery,multipoint_sorted,1,0.019000,0.130000
aquery,multipoint_sorted,2,0.015000,0.125000
aquery,multipoint_sorted,3,0.021000,0.210000
aquery,multipoint_sorted,4,0.019000,0.129000
aquery,multipoint_sorted,5,0.016000,0.124000
aquery,multipoint_sorted,6,0.020000,0.131000
aquery,multipoint_sorted,7,0.019000,0.132000
aquery,multipoint_sorted,8,0.018000,0.124000
aquery,multipoint_sorted,9,0.021000,0.211000
aquery,multipoint_sorted,10,0.020000,0.133000
aquery,multipoint_sorted,11,0.019000,0.126000
aquery,point_noindex,1,0.023000,0.324000
aquery,point_noindex,2,0.017000,0.124000
aquery,point_noindex,3,0.020000,0.150000
aquery,point_noindex,4,0.019000,0.131000
aquery,point_noindex,5,0.020000,0.154000
aquery,point_noindex,6,0.018000,0.123000
aquery,point_noindex,7,0.018000,0.125000
aquery,point_noindex,8,0.020000,0.125000
aquery,point_noindex,9,0.019000,0.131000
aquery,point_noindex,10,0.020000,0.231000
aquery,point_noindex,11,0.020000,0.130000
aquery,point_hash,1,0.018000,0.124000
aquery,point_hash,2,0.019000,0.125000
aquery,point_hash,3,0.018000,0.122000
aquery,point_hash,4,0.021000,0.139000
aquery,point_hash,5,0.018000,0.127000
aquery,point_hash,6,0.020000,0.134000
aquery,point_hash,7,0.019000,0.123000
aquery,point_hash,8,0.019000,0.124000
aquery,point_hash,9,0.021000,0.211000
aquery,point_hash,10,0.019000,0.130000
aquery,point_hash,11,0.019000,0.129000
aquery,point_sorted,1,0.017000,0.127000
aquery,point_sorted,2,0.017000,0.123000
aquery,point_sorted,3,0.018000,0.128000
aquery,point_sorted,4,0.015000,0.123000
aquery,point_sorted,5,0.017000,0.128000
aquery,point_sorted,6,0.017000,0.121000
aquery,point_sorted,7,0.018000,0.125000
aquery,point_sorted,8,0.018000,0.125000
aquery,point_sorted,9,0.017000,0.126000
aquery,point_sorted,10,0.016000,0.123000
aquery,point_sorted,11,0.017000,0.120000
aquery,multipoint_noindex,1,0.018000,0.126000
aquery,multipoint_noindex,2,0.019000,0.126000
aquery,multipoint_noindex,3,0.019000,0.129000
aquery,multipoint_noindex,4,0.020000,0.211000
aquery,multipoint_noindex,5,0.021000,0.212000
aquery,multipoint_noindex,6,0.019000,0.124000
aquery,multipoint_noindex,7,0.019000,0.126000
aquery,multipoint_noindex,8,0.018000,0.123000
aquery,multipoint_noindex,9,0.016000,0.126000
aquery,multipoint_noindex,10,0.015000,0.124000
aquery,multipoint_noindex,11,0.017000,0.120000
aquery,multipoint_hash,1,0.019000,0.131000
aquery,multipoint_hash,2,0.018000,0.126000
aquery,multipoint_hash,3,0.021000,0.212000
aquery,multipoint_hash,4,0.018000,0.122000
aquery,multipoint_hash,5,0.019000,0.130000
aquery,multipoint_hash,6,0.018000,0.123000
aquery,multipoint_hash,7,0.018000,0.129000
aquery,multipoint_hash,8,0.017000,0.124000
aquery,multipoint_hash,9,0.015000,0.121000
aquery,multipoint_hash,10,0.017000,0.123000
aquery,multipoint_hash,11,0.020000,0.208000
aquery,multipoint_sorted,1,0.020000,0.132000
aquery,multipoint_sorted,2,0.017000,0.126000
aquery,multipoint_sorted,3,0.017000,0.121000
aquery,multipoint_sorted,4,0.018000,0.127000
aquery,multipoint_sorted,5,0.018000,0.128000
aquery,multipoint_sorted,6,0.018000,0.126000
aquery,multipoint_sorted,7,0.019000,0.132000
aquery,multipoint_sorted,8,0.019000,0.127000
aquery,multipoint_sorted,9,0.019000,0.128000
aquery,multipoint_sorted,10,0.021000,0.146000
aquery,multipoint_sorted,11,0.019000,0.124000
aquery,point_noindex,1,0.021000,0.226000
aquery,point_noindex,2,0.020000,0.130000
aquery,point_noindex,3,0.019000,0.130000
aquery,point_noindex,4,0.020000,0.130000
aquery,point_noindex,5,0.019000,0.129000
aquery,point_noindex,6,0.019000,0.135000
aquery,point_noindex,7,0.019000,0.136000
aquery,point_noindex,8,0.021000,0.212000
aquery,point_noindex,9,0.020000,0.133000
aquery,point_noindex,10,0.020000,0.210000
aquery,point_noindex,11,0.019000,0.126000
aquery,point_hash,1,0.019000,0.129000
aquery,point_hash,2,0.018000,0.127000
aquery,point_hash,3,0.019000,0.132000
aquery,point_hash,4,0.018000,0.124000
aquery,point_hash,5,0.019000,0.129000
aquery,point_hash,6,0.019000,0.125000
aquery,point_hash,7,0.019000,0.129000
aquery,point_hash,8,0.019000,0.126000
aquery,point_hash,9,0.019000,0.136000
aquery,point_hash,10,0.019000,0.133000
aquery,point_hash,11,0.022000,0.210000
aquery,point_sorted,1,0.020000,0.209000
aquery,point_sorted,2,0.019000,0.129000
aquery,point_sorted,3,0.018000,0.125000
aquery,point_sorted,4,0.019000,0.128000
aquery,point_sorted,5,0.021000,0.213000
aquery,point_sorted,6,0.018000,0.128000
aquery,point_sorted,7,0.019000,0.135000
aquery,point_sorted,8,0.019000,0.126000
aquery,point_sorted,9,0.020000,0.125000
aquery,point_sorted,10,0.018000,0.124000
aquery,point_sorted,11,0.021000,0.213000
aquery,multipoint_noindex,1,0.018000,0.128000
aquery,multipoint_noindex,2,0.019000,0.126000
aquery,multipoint_noindex,3,0.019000,0.137000
aquery,multipoint_noindex,4,0.020000,0.126000
aquery,multipoint_noindex,5,0.022000,0.211000
aquery,multipoint_noindex,6,0.019000,0.129000
aquery,multipoint_noindex,7,0.021000,0.211000
aquery,multipoint_noindex,8,0.020000,0.209000
aquery,multipoint_noindex,9,0.019000,0.130000
aquery,multipoint_noindex,10,0.021000,0.211000
aquery,multipoint_noindex,11,0.019000,0.131000
aquery,multipoint_hash,1,0.019000,0.127000
aquery,multipoint_hash,2,0.021000,0.235000
aquery,multipoint_hash,3,0.018000,0.126000
aquery,multipoint_hash,4,0.020000,0.209000
aquery,multipoint_hash,5,0.019000,0.128000
aquery,multipoint_hash,6,0.019000,0.129000
aquery,multipoint_hash,7,0.020000,0.131000
aquery,multipoint_hash,8,0.019000,0.132000
aquery,multipoint_hash,9,0.019000,0.126000
aquery,multipoint_hash,10,0.020000,0.130000
aquery,multipoint_hash,11,0.019000,0.142000
aquery,multipoint_sorted,1,0.019000,0.125000
aquery,multipoint_sorted,2,0.020000,0.132000
aquery,multipoint_sorted,3,0.020000,0.132000
aquery,multipoint_sorted,4,0.018000,0.124000
aquery,multipoint_sorted,5,0.019000,0.130000
aquery,multipoint_sorted,6,0.019000,0.131000
aquery,multipoint_sorted,7,0.018000,0.122000
aquery,multipoint_sorted,8,0.019000,0.129000
aquery,multipoint_sorted,9,0.020000,0.211000
aquery,multipoint_sorted,10,0.019000,0.130000
aquery,multipoint_sorted,11,0.018000,0.123000
aquery,point_noindex,1,0.023000,0.239000
aquery,point_noindex,2,0.023000,0.339000
aquery,point_noindex,3,0.020000,0.142000
aquery,point_noindex,4,0.021000,0.154000
aquery,point_noindex,5,0.019000,0.125000
aquery,point_noindex,6,0.018000,0.124000
aquery,point_noindex,7,0.019000,0.134000
aquery,point_noindex,8,0.019000,0.133000
aquery,point_noindex,9,0.019000,0.130000
aquery,point_noindex,10,0.019000,0.130000
aquery,point_noindex,11,0.019000,0.127000
aquery,point_hash,1,0.018000,0.127000
aquery,point_hash,2,0.019000,0.128000
aquery,point_hash,3,0.019000,0.133000
aquery,point_hash,4,0.019000,0.133000
aquery,point_hash,5,0.021000,0.209000
aquery,point_hash,6,0.018000,0.121000
aquery,point_hash,7,0.019000,0.130000
aquery,point_hash,8,0.019000,0.130000
aquery,point_hash,9,0.019000,0.124000
aquery,point_hash,10,0.015000,0.123000
aquery,point_hash,11,0.014000,0.118000
aquery,point_sorted,1,0.015000,0.123000
aquery,point_sorted,2,0.017000,0.127000
aquery,point_sorted,3,0.018000,0.128000
aquery,point_sorted,4,0.019000,0.132000
aquery,point_sorted,5,0.019000,0.129000
aquery,point_sorted,6,0.021000,0.211000
aquery,point_sorted,7,0.020000,0.135000
aquery,point_sorted,8,0.020000,0.211000
aquery,point_sorted,9,0.019000,0.123000
aquery,point_sorted,10,0.019000,0.126000
aquery,point_sorted,11,0.019000,0.135000
aquery,multipoint_noindex,1,0.019000,0.138000
aquery,multipoint_noindex,2,0.018000,0.120000
aquery,multipoint_noindex,3,0.020000,0.144000
aquery,multipoint_noindex,4,0.018000,0.120000
aquery,multipoint_noindex,5,0.018000,0.120000
aquery,multipoint_noindex,6,0.019000,0.133000
aquery,multipoint_noindex,7,0.018000,0.122000
aquery,multipoint_noindex,8,0.019000,0.129000
aquery,multipoint_noindex,9,0.020000,0.214000
aquery,multipoint_noindex,10,0.018000,0.121000
aquery,multipoint_noindex,11,0.020000,0.142000
aquery,multipoint_hash,1,0.018000,0.123000
aquery,multipoint_hash,2,0.019000,0.135000
aquery,multipoint_hash,3,0.019000,0.133000
aquery,multipoint_hash,4,0.019000,0.129000
aquery,multipoint_hash,5,0.019000,0.129000
aquery,multipoint_hash,6,0.019000,0.124000
aquery,multipoint_hash,7,0.020000,0.210000
aquery,multipoint_hash,8,0.019000,0.131000
aquery,multipoint_hash,9,0.019000,0.125000
aquery,multipoint_hash,10,0.018000,0.124000
aquery,multipoint_hash,11,0.019000,0.140000
aquery,multipoint_sorted,1,0.019000,0.128000
aquery,multipoint_sorted,2,0.019000,0.131000
aquery,multipoint_sorted,3,0.019000,0.124000
aquery,multipoint_sorted,4,0.018000,0.131000
aquery,multipoint_sorted,5,0.021000,0.132000
aquery,multipoint_sorted,6,0.019000,0.124000
aquery,multipoint_sorted,7,0.018000,0.125000
aquery,multipoint_sorted,8,0.018000,0.122000
aquery,multipoint_sorted,9,0.020000,0.124000
aquery,multipoint_sorted,10,0.019000,0.133000
aquery,multipoint_sorted,11,0.021000,0.216000
aquery,point_noindex,1,0.022000,0.148000
aquery,point_noindex,2,0.019000,0.210000
aquery,point_noindex,3,0.019000,0.130000
aquery,point_noindex,4,0.021000,0.208000
aquery,point_noindex,5,0.020000,0.143000
aquery,point_noindex,6,0.019000,0.131000
aquery,point_noindex,7,0.019000,0.125000
aquery,point_noindex,8,0.019000,0.131000
aquery,point_noindex,9,0.020000,0.133000
aquery,point_noindex,10,0.021000,0.212000
aquery,point_noindex,11,0.019000,0.125000
aquery,point_hash,1,0.019000,0.210000
aquery,point_hash,2,0.020000,0.133000
aquery,point_hash,3,0.020000,0.125000
aquery,point_hash,4,0.018000,0.124000
aquery,point_hash,5,0.018000,0.124000
aquery,point_hash,6,0.019000,0.126000
aquery,point_hash,7,0.021000,0.211000
aquery,point_hash,8,0.018000,0.125000
aquery,point_hash,9,0.021000,0.212000
aquery,point_hash,10,0.020000,0.133000
aquery,point_hash,11,0.018000,0.122000
aquery,point_sorted,1,0.021000,0.212000
aquery,point_sorted,2,0.019000,0.130000
aquery,point_sorted,3,0.020000,0.209000
aquery,point_sorted,4,0.018000,0.125000
aquery,point_sorted,5,0.019000,0.131000
aquery,point_sorted,6,0.018000,0.124000
aquery,point_sorted,7,0.019000,0.124000
aquery,point_sorted,8,0.018000,0.124000
aquery,point_sorted,9,0.019000,0.125000
aquery,point_sorted,10,0.021000,0.212000
aquery,point_sorted,11,0.018000,0.123000
aquery,multipoint_noindex,1,0.020000,0.212000
aquery,multipoint_noindex,2,0.020000,0.131000
aquery,multipoint_noindex,3,0.019000,0.133000
aquery,multipoint_noindex,4,0.019000,0.126000
aquery,multipoint_noindex,5,0.019000,0.133000
aquery,multipoint_noindex,6,0.018000,0.124000
aquery,multipoint_noindex,7,0.020000,0.208000
aquery,multipoint_noindex,8,0.019000,0.129000
aquery,multipoint_noindex,9,0.014000,0.121000
aquery,multipoint_noindex,10,0.020000,0.129000
aquery,multipoint_noindex,11,0.021000,0.213000
aquery,multipoint_hash,1,0.018000,0.129000
aquery,multipoint_hash,2,0.017000,0.124000
aquery,multipoint_hash,3,0.018000,0.127000
aquery,multipoint_hash,4,0.016000,0.122000
aquery,multipoint_hash,5,0.021000,0.213000
aquery,multipoint_hash,6,0.018000,0.123000
aquery,multipoint_hash,7,0.019000,0.124000
aquery,multipoint_hash,8,0.020000,0.211000
aquery,multipoint_hash,9,0.019000,0.207000
aquery,multipoint_hash,10,0.021000,0.210000
aquery,multipoint_hash,11,0.019000,0.137000
aquery,multipoint_sorted,1,0.020000,0.182000
aquery,multipoint_sorted,2,0.017000,0.121000
aquery,multipoint_sorted,3,0.015000,0.123000
aquery,multipoint_sorted,4,0.016000,0.125000
aquery,multipoint_sorted,5,0.016000,0.127000
aquery,multipoint_sorted,6,0.017000,0.123000
aquery,multipoint_sorted,7,0.016000,0.125000
aquery,multipoint_sorted,8,0.018000,0.126000
aquery,multipoint_sorted,9,0.018000,0.122000
aquery,multipoint_sorted,10,0.018000,0.125000
aquery,multipoint_sorted,11,0.021000,0.212000
